Villanova,93.93
Villanova,93.93
Mt. St. Marys,67.55
Wisconsin,89.01
Va Tech,82.93
UVA,91.23
Wilmington,79.91
Florida,91
ETSU,78.32
SMU,88.73
Wake Forest,83.87
Baylor,90.37
New Mex. St.,76.4
South Car,84.6
Marquette,84.7
Duke,91.73
Troy,71.49
Gonzaga,94.62
S. Dak. St.,71.94
Northwestern,83.46
Vandy,83.16
ND,87.86
Princeton,79.39
WVU,92.84
Bucknell,76.65
Maryland,83.18
Xavier,84.3
FSU,88.67
FGCU,74.15
St. Marys,87.54
VCU,83.14
Arizona,88.79
N. Dakota,71.55
Kansas,91.98
NC Central,78.44
Miami,85.14
Mich St.,83.69
Iowa St.,88.39
Nevada,82.22
Purdue,90.22
Vermont,78.76
Creighton,87.92
URI,82.86
Oregon,90.92
Iona,73.53
Michigan,87.79
Okla. St.,87.58
Louisville,91.98
Jacksonville,69.82
UNC,93.32
Texas Southern,68.37
Arkansas,84.92
Seton Hall,83.69
Minn,84.21
MTSU,80.99
Butler,89.12
Winthrop,74.03
Cinn,88.45
USC,82.45
UCLA,89.62
Kent St.,72.98
DAYTON,83.44
Wichita St.,90.45
UK,92.73
N. Kent.,71.82
NO,68.16
K. State,84.15
UC Davis,68.81
Providence,81.27
